# packages in environment at C:\ProgramData\Anaconda3\envs\financial:
#
# Name                    Version                   Build  Channel
pthreads-win32            2.9.1                hfa6e2cd_3    conda-forge
pulsar-client             3.5.0                    pypi_0    pypi
pure_eval                 0.2.3              pyhd8ed1ab_0    conda-forge
py                        1.11.0                   pypi_0    pypi
pyarrow                   17.0.0          py311h06a5be4_1    conda-forge
pyarrow-core              17.0.0          py311hdea38fa_1_cpu    conda-forge
pyasn1                    0.6.1                    pypi_0    pypi
pyasn1-modules            0.4.1                    pypi_0    pypi
pybind11-abi              4                    hd8ed1ab_3    conda-forge
pycosat                   0.6.6           py311ha68e1ae_0    conda-forge
pycparser                 2.22               pyhd8ed1ab_0    conda-forge
pydantic                  2.9.2                    pypi_0    pypi
pydantic-core             2.23.4                   pypi_0    pypi
pydeck                    0.8.0              pyhd8ed1ab_0    conda-forge
pydyf                     0.11.0             pyhd8ed1ab_0    conda-forge
pygments                  2.18.0             pyhd8ed1ab_0    conda-forge
pylance                   0.9.18                   pypi_0    pypi
pypdf                     4.3.1                    pypi_0    pypi
pyphen                    0.16.0             pyhd8ed1ab_0    conda-forge
pypika                    0.48.9                   pypi_0    pypi
pyproject-hooks           1.1.0                    pypi_0    pypi
pyreadline3               3.5.4                    pypi_0    pypi
pyright                   1.1.381                  pypi_0    pypi
pysbd                     0.3.4                    pypi_0    pypi
pysocks                   1.7.1              pyh0701188_6    conda-forge
pysqlite3                 0.5.3              pyhcc49967_0    conda-forge
pytest                    8.3.3                    pypi_0    pypi
python                    3.11.10         hce54a09_1_cpython    conda-forge
python-dateutil           2.9.0              pyhd8ed1ab_0    conda-forge
python-dotenv             1.0.1                    pypi_0    pypi
python-iso639             2024.4.27                pypi_0    pypi
python-magic              0.4.27                   pypi_0    pypi
python-tzdata             2024.1             pyhd8ed1ab_0    conda-forge
python_abi                3.11                    5_cp311    conda-forge
pytube                    15.0.0                   pypi_0    pypi
pytz                      2024.1             pyhd8ed1ab_0    conda-forge
pywin32                   306             py311h12c1d0e_2    conda-forge
pyyaml                    6.0.2           py311he736701_1    conda-forge
pyzmq                     26.2.0          py311h484c95c_2    conda-forge
qdrant-client             1.11.2                   pypi_0    pypi
rapidfuzz                 3.10.0                   pypi_0    pypi
ratelimiter               1.2.0.post0              pypi_0    pypi
re2                       2023.09.01           hd3b24a8_2    conda-forge
referencing               0.35.1             pyhd8ed1ab_0    conda-forge
regex                     2023.12.25               pypi_0    pypi
reproc                    14.2.4.post0         hcfcfb64_1    conda-forge
reproc-cpp                14.2.4.post0         h63175ca_1    conda-forge
requests                  2.32.3             pyhd8ed1ab_0    conda-forge
requests-oauthlib         2.0.0                    pypi_0    pypi
requests-toolbelt         1.0.0                    pypi_0    pypi
retry                     0.9.2                    pypi_0    pypi
rich                      13.8.1             pyhd8ed1ab_0    conda-forge
rpds-py                   0.20.0          py311h533ab2d_1    conda-forge
rsa                       4.9                      pypi_0    pypi
ruamel.yaml               0.18.6          py311ha68e1ae_0    conda-forge
ruamel.yaml.clib          0.2.8           py311ha68e1ae_0    conda-forge
s3transfer                0.10.2                   pypi_0    pypi
safetensors               0.4.5                    pypi_0    pypi
schema                    0.7.7                    pypi_0    pypi
selenium                  4.25.0                   pypi_0    pypi
semver                    3.0.2                    pypi_0    pypi
setuptools                74.1.2             pyhd8ed1ab_0    conda-forge
shapely                   2.0.6                    pypi_0    pypi
shellingham               1.5.4                    pypi_0    pypi
six                       1.16.0             pyh6c4a22f_0    conda-forge
smmap                     5.0.0              pyhd8ed1ab_0    conda-forge
snappy                    1.2.1                h23299a8_0    conda-forge
sniffio                   1.3.1                    pypi_0    pypi
sortedcontainers          2.4.0                    pypi_0    pypi
soupsieve                 2.6                      pypi_0    pypi
sqlalchemy                2.0.35                   pypi_0    pypi
sqlite                    3.46.1               h2466b09_0    conda-forge
stack_data                0.6.2              pyhd8ed1ab_0    conda-forge
starlette                 0.38.6                   pypi_0    pypi
streamlit                 1.38.0             pyhd8ed1ab_0    conda-forge
sympy                     1.13.3                   pypi_0    pypi
tabulate                  0.9.0                    pypi_0    pypi
tbb                       2021.13.1                pypi_0    pypi
tenacity                  8.5.0              pyhd8ed1ab_0    conda-forge
termcolor                 2.4.0                    pypi_0    pypi
tiktoken                  0.7.0                    pypi_0    pypi
tinycss2                  1.3.0              pyhd8ed1ab_0    conda-forge
tk                        8.6.13               h5226925_1    conda-forge
